File path; File name; Scanner type; Date and time; Duration; Scan mode; Type; Frequency; Code; Favorite name; System name; Department name; Channel name; Site; TGID; UID; UID Name; Latitude; Longitude
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-20_23-20-53.wav;2020-06-20_23-20-53.wav;BCDx36HP;6/20/2020 11:21:03 PM;00:00:10;Normal scan mode;Edacs;851.3125;;Transit;Bay Area Rapid Transit (BART);Train Operations;C Line (Pittsburg/Bay Point);Simulcast;02-026;16104;;37.725840;-122.115887
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-21_17-45-57.wav;2020-06-21_17-45-57.wav;BCDx36HP;6/21/2020 5:45:59 PM;00:00:02;Normal scan mode;P25Standard;852.8000;;HoCo;Howard County (Project 25);Police;District 1 Dispatch (Fire A9/B9/C9/D9);Site 2;10961;2468181;;;
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-20_23-02-27.wav;2020-06-20_23-02-27.wav;BCDx36HP;6/20/2020 11:02:30 PM;00:00:02;Normal scan mode;Edacs;851.3125;;Transit;Bay Area Rapid Transit (BART);Maintenance;Power & Way 1 (3rd Rail Power Distribution);Simulcast;02-141;;;37.725840;-122.115887
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-21_18-12-13.wav;2020-06-21_18-12-13.wav;BCDx36HP;6/21/2020 6:12:15 PM;00:00:02;Normal scan mode;P25Standard;851.3875;;HoCo;Howard County (Project 25);Police;District 2 Dispatch (Fire A10/B10/C10/D10);Site 2;10963;2468250;;;
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-21_17-38-55.wav;2020-06-21_17-38-55.wav;BCDx36HP;6/21/2020 5:39:06 PM;00:00:11;Normal scan mode;P25Standard;851.6875;;HoCo;Howard County (Project 25);Police;District 1 Dispatch (Fire A9/B9/C9/D9);Site 2;10961;109;;;
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-21_18-06-58.wav;2020-06-21_18-06-58.wav;BCDx36HP;6/21/2020 6:07:00 PM;00:00:02;Normal scan mode;P25Standard;851.6875;;HoCo;Howard County (Project 25);Police;District 1 Dispatch (Fire A9/B9/C9/D9);Site 2;10961;109;;;
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-22_23-07-26.wav;2020-06-22_23-07-26.wav;BCDx36HP;6/22/2020 11:07:30 PM;00:00:03;Normal scan mode;P25Standard;771.4937;;180683-Alameda CA;East Bay Regional Communications System (EBRCS);San Leandro;Police Dispatch;ALCO Northwest Simulcast;3555;3263080;;;
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-20_23-23-28.wav;2020-06-20_23-23-28.wav;BCDx36HP;6/20/2020 11:23:30 PM;00:00:01;Normal scan mode;Edacs;853.3625;;Transit;Bay Area Rapid Transit (BART);Train Operations;K Line (Oakland);Simulcast;02-024;8626;;37.725840;-122.115887
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-21_18-12-39.wav;2020-06-21_18-12-39.wav;BCDx36HP;6/21/2020 6:12:40 PM;00:00:00;Normal scan mode;P25Standard;851.5750;;HoCo;Howard County (Project 25);Fire;A1 Dispatch;Site 2;10901;111;;;
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-20_23-23-00.wav;2020-06-20_23-23-00.wav;BCDx36HP;6/20/2020 11:23:00 PM;00:00:00;Normal scan mode;Edacs;851.3125;;Transit;Bay Area Rapid Transit (BART);Train Operations;M Line (SF Market St);Simulcast;02-023;16105;;37.725840;-122.115887
